post_id,post_author,post_text,post_processed,post_url,num_comments,comments_raw,comments_processed,comments_json,sentiment,sentiment_score,sentiment_reasoning
2016216029999874296,NICOLAS MUÑOZ @NICOLAS71046251 · Jan 27,POR QUE LA JUSTICIA NO INVESTIGA A  SERGIO MASSA...?,justici investig sergi mass,https://x.com/NICOLAS71046251/status/2016216029999874296,10,Facil | Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo. | Massa: CAPO MAFIA | Porque los kukas tienen comprada a la justicia | @JMilei | Facil | Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo. | Porque los kukas tienen comprada a la justicia | Massa: CAPO MAFIA | @JMilei,facil | interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct | mass cap mafi | kuk compr justici |  | facil | interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct | kuk compr justici | mass cap mafi | ,"[""Facil"", ""Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo."", ""Massa: CAPO MAFIA"", ""Porque los kukas tienen comprada a la justicia"", ""@JMilei"", ""Facil"", ""Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo."", ""Porque los kukas tienen comprada a la justicia"", ""Massa: CAPO MAFIA"", ""@JMilei""]",,,
2006456765013958906,"FAN DE LAJE @AntonioLaje_ · Dec 31, 2025"," Nicolás Daniel Rodríguez y Daniela Silva Muñoz son ñoquis del Senado y militantes de la agrupación ultra K ""La Capitana"".   Quedaron detenidos por reiteradas violaciones y abusos contra 4 víctimas.   La pareja integra una secta religiosa que practica ritos sexuales y,",nicolas daniel rodriguez daniel silv muñoz ñoquis sen milit agrup ultra capitan qued deten reiter violacion abus victim parej integr sect religi practic rit sexual,https://x.com/AntonioLaje_/status/2006456765013958906,5,"Hay algún kuka que no sea pedófilo y merquero? | Ya en el programa de Lanata hace muchos años 3 chicas denunciaron los abusos sexuales dentro de la organizacion de la Cámpora. Ningun colectivo feminista las defendió. | Y no olvidarse de este colaborador de Mayra !! | Ah, pero  @magariovero  y  @Kicillofok   solo quieren la reelección indefinida!. . Convirtieron la legislatura BONAERENSE en un antro. Chocolategate, penes de madera, gel anal, estafa con guardapolvos, etc! Hay que ser muy descerebrado para votar a esa LACRAS!. | El kirchnerismo es una enfermedad mental!",algun kuk pedofil merquer | program lanat hac años chic denunci abus sexual dentr organiz campor ningun colect femin defend | olvid colabor mayr | sol quier reeleccion indefin convirt legislatur bonaerens antro chocolategat pen mader gel anal estaf guardapolv etc ser descerebr vot lacr | kirchner enfermed mental,"[""Hay algún kuka que no sea pedófilo y merquero?"", ""Ya en el programa de Lanata hace muchos años 3 chicas denunciaron los abusos sexuales dentro de la organizacion de la Cámpora. Ningun colectivo feminista las defendió."", ""Y no olvidarse de este colaborador de Mayra !!"", ""Ah, pero  @magariovero  y  @Kicillofok   solo quieren la reelección indefinida!. . Convirtieron la legislatura BONAERENSE en un antro. Chocolategate, penes de madera, gel anal, estafa con guardapolvos, etc! Hay que ser muy descerebrado para votar a esa LACRAS!."", ""El kirchnerismo es una enfermedad mental!""]",,,
2011210060073222448,GAP @GordoAntiProgre · Jan 13,Detuvieron por captación y abuso de menores a Nicolás Rodríguez y Daniela Muñoz. Son militantes kukas de la agrupación La Capitana y empleados del Senado de Pba. El kirchnerismo es delincuencia. Abz!,detuv captacion abus menor nicolas rodriguez daniel muñoz milit kuk agrup capitan emple sen pba kirchner delincuent abz,https://x.com/GordoAntiProgre/status/2011210060073222448,5,"No averigües que relación tiene Mayra con las prostitutas y menores que tienen tatuada una mariposa. Repito no lo hagas. Abz | Los kumpas, no solo una asociacion ilicita económica, tambien un conjunto de perversos sexuales. Completitos. | El peronismo es delincuencia. Siempre | El kirchnerismo y todos sus derivados   son secta. | El PERONISMO... Son Abusadores Sexuales   José Alperovich está con ""domiciliaria"" por salud y anda fumando en el balcón",averigü relacion mayr prostitut menor tatu marip repit hag abz | kump sol asoci ilicit econom tambi conjunt pervers sexual completit | peron delincuent siempr | kirchner deriv sect | peron abus sexual jos alperovich domiciliari salud anda fum balcon,"[""No averigües que relación tiene Mayra con las prostitutas y menores que tienen tatuada una mariposa. Repito no lo hagas. Abz"", ""Los kumpas, no solo una asociacion ilicita económica, tambien un conjunto de perversos sexuales. Completitos."", ""El peronismo es delincuencia. Siempre"", ""El kirchnerismo y todos sus derivados   son secta."", ""El PERONISMO... Son Abusadores Sexuales   José Alperovich está con \""domiciliaria\"" por salud y anda fumando en el balcón""]",,,
2011644640345420283,ASB @GordoLeyes · Jan 14,"Nicolás Rodríguez y Daniela Muñoz. Munipas de Kicillof. Imputados por captación y abuso de menores. Como digo siempre, KUKA = PEDÓFILO.",nicolas rodriguez daniel muñoz munip kicillof imput captacion abus menor dig siempr kuk pedofil,https://x.com/GordoLeyes/status/2011644640345420283,10,"ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual | es facil KUKA = PEDOFILO | Se confirmó el vínculo con la hermana de cierta presa? | @SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona | Te das cuenta como le ponen ""empleados bonaerenses"", pero si una chica que ni forma parte del gobierno choca un poste le ponen ""LIBERTARIA"" | ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual | es facil KUKA = PEDOFILO | Se confirmó el vínculo con la hermana de cierta presa? | @SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona | Existe algún KuKa que no sea pedófilo, violador, asesino, chorro, narKo, golpeador de mujeres, acosador...?",dich victori tolos paz peron siempr garch queres garch igual | facil kuk pedofil | confirm vincul herman ciert pres | mir gent defend parec grav degener suci degener tenes perdon | das cuent pon emple bonaerens chic form part gobiern choc post pon libertari | dich victori tolos paz peron siempr garch queres garch igual | facil kuk pedofil | confirm vincul herman ciert pres | mir gent defend parec grav degener suci degener tenes perdon | exist algun kuk pedofil violador asesin chorr nark golpeador mujer acos,"[""ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual"", ""es facil KUKA = PEDOFILO"", ""Se confirmó el vínculo con la hermana de cierta presa?"", ""@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona"", ""Te das cuenta como le ponen \""empleados bonaerenses\"", pero si una chica que ni forma parte del gobierno choca un poste le ponen \""LIBERTARIA\"""", ""ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual"", ""es facil KUKA = PEDOFILO"", ""Se confirmó el vínculo con la hermana de cierta presa?"", ""@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona"", ""Existe algún KuKa que no sea pedófilo, violador, asesino, chorro, narKo, golpeador de mujeres, acosador...?""]",,,
2016216029999874296,NICOLAS MUÑOZ@NICOLAS71046251·Jan 27,POR QUE LA JUSTICIA NO INVESTIGA A  SERGIO MASSA...?,justici investig sergi mass,https://x.com/NICOLAS71046251/status/2016216029999874296,10,Facil | Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo. | Massa: CAPO MAFIA | Porque los kukas tienen comprada a la justicia | @JMilei | Facil | Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo. | Porque los kukas tienen comprada a la justicia | Massa: CAPO MAFIA | @JMilei,facil | interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct | mass cap mafi | kuk compr justici |  | facil | interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct | kuk compr justici | mass cap mafi | ,"[""Facil"", ""Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo."", ""Massa: CAPO MAFIA"", ""Porque los kukas tienen comprada a la justicia"", ""@JMilei"", ""Facil"", ""Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo."", ""Porque los kukas tienen comprada a la justicia"", ""Massa: CAPO MAFIA"", ""@JMilei""]",,,
2006456765013958906,"FAN DE LAJE@AntonioLaje_·Dec 31, 2025"," Nicolás Daniel Rodríguez y Daniela Silva Muñoz son ñoquis del Senado y militantes de la agrupación ultra K ""La Capitana"".   Quedaron detenidos por reiteradas violaciones y abusos contra 4 víctimas.   La pareja integra una secta religiosa que practica ritos sexuales y,",nicolas daniel rodriguez daniel silv muñoz ñoquis sen milit agrup ultra capitan qued deten reiter violacion abus victim parej integr sect religi practic rit sexual,https://x.com/AntonioLaje_/status/2006456765013958906,5,"Hay algún kuka que no sea pedófilo y merquero? | Ya en el programa de Lanata hace muchos años 3 chicas denunciaron los abusos sexuales dentro de la organizacion de la Cámpora. Ningun colectivo feminista las defendió. | Y no olvidarse de este colaborador de Mayra !! | Ah, pero  @magariovero  y  @Kicillofok   solo quieren la reelección indefinida!. . Convirtieron la legislatura BONAERENSE en un antro. Chocolategate, penes de madera, gel anal, estafa con guardapolvos, etc! Hay que ser muy descerebrado para votar a esa LACRAS!. | El kirchnerismo es una enfermedad mental!",algun kuk pedofil merquer | program lanat hac años chic denunci abus sexual dentr organiz campor ningun colect femin defend | olvid colabor mayr | sol quier reeleccion indefin convirt legislatur bonaerens antro chocolategat pen mader gel anal estaf guardapolv etc ser descerebr vot lacr | kirchner enfermed mental,"[""Hay algún kuka que no sea pedófilo y merquero?"", ""Ya en el programa de Lanata hace muchos años 3 chicas denunciaron los abusos sexuales dentro de la organizacion de la Cámpora. Ningun colectivo feminista las defendió."", ""Y no olvidarse de este colaborador de Mayra !!"", ""Ah, pero  @magariovero  y  @Kicillofok   solo quieren la reelección indefinida!. . Convirtieron la legislatura BONAERENSE en un antro. Chocolategate, penes de madera, gel anal, estafa con guardapolvos, etc! Hay que ser muy descerebrado para votar a esa LACRAS!."", ""El kirchnerismo es una enfermedad mental!""]",,,
2011210060073222448,GAP@GordoAntiProgre·Jan 13,Detuvieron por captación y abuso de menores a Nicolás Rodríguez y Daniela Muñoz. Son militantes kukas de la agrupación La Capitana y empleados del Senado de Pba. El kirchnerismo es delincuencia. Abz!,detuv captacion abus menor nicolas rodriguez daniel muñoz milit kuk agrup capitan emple sen pba kirchner delincuent abz,https://x.com/GordoAntiProgre/status/2011210060073222448,5,"No averigües que relación tiene Mayra con las prostitutas y menores que tienen tatuada una mariposa. Repito no lo hagas. Abz | Los kumpas, no solo una asociacion ilicita económica, tambien un conjunto de perversos sexuales. Completitos. | El peronismo es delincuencia. Siempre | El kirchnerismo y todos sus derivados   son secta. | El PERONISMO... Son Abusadores Sexuales   José Alperovich está con ""domiciliaria"" por salud y anda fumando en el balcón",averigü relacion mayr prostitut menor tatu marip repit hag abz | kump sol asoci ilicit econom tambi conjunt pervers sexual completit | peron delincuent siempr | kirchner deriv sect | peron abus sexual jos alperovich domiciliari salud anda fum balcon,"[""No averigües que relación tiene Mayra con las prostitutas y menores que tienen tatuada una mariposa. Repito no lo hagas. Abz"", ""Los kumpas, no solo una asociacion ilicita económica, tambien un conjunto de perversos sexuales. Completitos."", ""El peronismo es delincuencia. Siempre"", ""El kirchnerismo y todos sus derivados   son secta."", ""El PERONISMO... Son Abusadores Sexuales   José Alperovich está con \""domiciliaria\"" por salud y anda fumando en el balcón""]",,,
2011644640345420283,ASB@GordoLeyes·Jan 14,"Nicolás Rodríguez y Daniela Muñoz. Munipas de Kicillof. Imputados por captación y abuso de menores. Como digo siempre, KUKA = PEDÓFILO.",nicolas rodriguez daniel muñoz munip kicillof imput captacion abus menor dig siempr kuk pedofil,https://x.com/GordoLeyes/status/2011644640345420283,10,"ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual | es facil KUKA = PEDOFILO | Se confirmó el vínculo con la hermana de cierta presa? | @SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona | Te das cuenta como le ponen ""empleados bonaerenses"", pero si una chica que ni forma parte del gobierno choca un poste le ponen ""LIBERTARIA"" | ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual | es facil KUKA = PEDOFILO | Se confirmó el vínculo con la hermana de cierta presa? | @SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona | Existe algún KuKa que no sea pedófilo, violador, asesino, chorro, narKo, golpeador de mujeres, acosador...?",dich victori tolos paz peron siempr garch queres garch igual | facil kuk pedofil | confirm vincul herman ciert pres | mir gent defend parec grav degener suci degener tenes perdon | das cuent pon emple bonaerens chic form part gobiern choc post pon libertari | dich victori tolos paz peron siempr garch queres garch igual | facil kuk pedofil | confirm vincul herman ciert pres | mir gent defend parec grav degener suci degener tenes perdon | exist algun kuk pedofil violador asesin chorr nark golpeador mujer acos,"[""ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual"", ""es facil KUKA = PEDOFILO"", ""Se confirmó el vínculo con la hermana de cierta presa?"", ""@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona"", ""Te das cuenta como le ponen \""empleados bonaerenses\"", pero si una chica que ni forma parte del gobierno choca un poste le ponen \""LIBERTARIA\"""", ""ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual"", ""es facil KUKA = PEDOFILO"", ""Se confirmó el vínculo con la hermana de cierta presa?"", ""@SoyFeudaleM   mira la gente que defendes!!! Esto no te parece grave!!! Degenerada! Sucia como estás degenerados!! No tenés perdona"", ""Existe algún KuKa que no sea pedófilo, violador, asesino, chorro, narKo, golpeador de mujeres, acosador...?""]",,,
2015889460118921421,Nicolás Medina Parada @nicomedinapa · Jan 26,"En libertad, acompañado de su pareja salió del tribunal Claudio Luna Muñoz (39) cuidador de un predio y acusado de iniciar el primer foco de incendio que se propagó hasta Tomé. No se logró comprobar ni descartar su participación en el hecho  @adnradiochile",libert acompañ parej sal tribunal claudi lun muñoz cuidador predi acus inici prim foc incendi propag tom logr comprob descart particip hech,https://x.com/nicomedinapa/status/2015889460118921421,5,"Quedó con arresto domiciliario nocturno. El dueño del predio, un abogado y notario, lo tenía trabajando sin contrato. Dijo que nunca se le avisó sobre las condiciones en que estaba la cocina  @adnradiochile | Díganle a este hombre que un abogado quiere hablar con él para ayudarlo. ¿Alguien tendrá el contacto? | Su causa la está tomando el defensor regional de Biobío, Osvaldo Pizarro | No es el responsable | Me da sospecha y me da pena por el hombre imagínate que te pase un accidente así por una estufa en mal estado y el jefe su responsabilidad??? Se corta el hilo por lo más delgado como siempre...Pero le quieren cargar toda la culpa???   Por lo que sé son varios focos incendiarios",qued arrest domiciliari nocturn dueñ predi abog notari trabaj contrat dij nunc avis condicion cocin | diganl hombr abog quier habl ayud ¿algui contact | caus tom defensor regional biobi osvald pizarr | respons | sospech pen hombr imaginat pas accident asi estuf mal jef respons cort hil delg siempreper quier carg tod culp vari foc incendiari,"[""Quedó con arresto domiciliario nocturno. El dueño del predio, un abogado y notario, lo tenía trabajando sin contrato. Dijo que nunca se le avisó sobre las condiciones en que estaba la cocina  @adnradiochile"", ""Díganle a este hombre que un abogado quiere hablar con él para ayudarlo. ¿Alguien tendrá el contacto?"", ""Su causa la está tomando el defensor regional de Biobío, Osvaldo Pizarro"", ""No es el responsable"", ""Me da sospecha y me da pena por el hombre imagínate que te pase un accidente así por una estufa en mal estado y el jefe su responsabilidad??? Se corta el hilo por lo más delgado como siempre...Pero le quieren cargar toda la culpa???   Por lo que sé son varios focos incendiarios""]",,,
2016506234283659457,NariñoHoy @HoyNarino · 5h,"#Nariño| Gremios y autoridades de Nariño analizan impacto de la crisis comercial con Ecuador En la sede de la Cámara de Comercio de Pasto se desarrolló un encuentro ampliado del sector gremial de Nariño, con la participación del alcalde Nicolás Toro Muñoz y el gobernador Luis",nariñ gremi autor nariñ analiz impact crisis comercial ecuador sed cam comerci past desarroll encuentr ampli sector gremial nariñ particip alcald nicolas tor muñoz gobern luis,https://x.com/HoyNarino/status/2016506234283659457,0,No comments,No comments,[],,,
