type,author,text,parent_url,processed_tokens,processed_text
post,NICOLAS MUÑOZ @NICOLAS71046251 · Jan 27,POR QUE LA JUSTICIA NO INVESTIGA A  SERGIO MASSA...?,https://x.com/NICOLAS71046251/status/2016216029999874296,"['justici', 'investig', 'sergi', 'mass']",justici investig sergi mass
comment,Freedom 4ta @Freedom250612 · 16h,Facil,https://x.com/NICOLAS71046251/status/2016216029999874296,['facil'],facil
comment,hdo @hdoian · 16h,Los intereses que se encolumnan detrás del ex “mejor” Mtro. de Economía no pueden darse el lujo de entregarlo sin daño directo.,https://x.com/NICOLAS71046251/status/2016216029999874296,"['interes', 'encolumn', 'detras', 'mejor', 'mtro', 'econom', 'pued', 'dars', 'luj', 'entreg', 'dañ', 'direct']",interes encolumn detras mejor mtro econom pued dars luj entreg dañ direct
comment,Sancho @horalfa · 19h,Massa: CAPO MAFIA,https://x.com/NICOLAS71046251/status/2016216029999874296,"['mass', 'cap', 'mafi']",mass cap mafi
comment,Siripo @Siripo11 · 4h,Porque los kukas tienen comprada a la justicia,https://x.com/NICOLAS71046251/status/2016216029999874296,"['kuk', 'compr', 'justici']",kuk compr justici
comment,julietacobos @julietacobos1 · 15h,@JMilei,https://x.com/NICOLAS71046251/status/2016216029999874296,[],
post,"FAN DE LAJE @AntonioLaje_ · Dec 31, 2025"," Nicolás Daniel Rodríguez y Daniela Silva Muñoz son ñoquis del Senado y militantes de la agrupación ultra K ""La Capitana"".   Quedaron detenidos por reiteradas violaciones y abusos contra 4 víctimas.   La pareja integra una secta religiosa que practica ritos sexuales y,",https://x.com/AntonioLaje_/status/2006456765013958906,"['nicolas', 'daniel', 'rodriguez', 'daniel', 'silv', 'muñoz', 'ñoquis', 'sen', 'milit', 'agrup', 'ultra', 'capitan', 'qued', 'deten', 'reiter', 'violacion', 'abus', 'victim', 'parej', 'integr', 'sect', 'religi', 'practic', 'rit', 'sexual']",nicolas daniel rodriguez daniel silv muñoz ñoquis sen milit agrup ultra capitan qued deten reiter violacion abus victim parej integr sect religi practic rit sexual
post,GAP @GordoAntiProgre · Jan 13,Detuvieron por captación y abuso de menores a Nicolás Rodríguez y Daniela Muñoz. Son militantes kukas de la agrupación La Capitana y empleados del Senado de Pba. El kirchnerismo es delincuencia. Abz!,https://x.com/GordoAntiProgre/status/2011210060073222448,"['detuv', 'captacion', 'abus', 'menor', 'nicolas', 'rodriguez', 'daniel', 'muñoz', 'milit', 'kuk', 'agrup', 'capitan', 'emple', 'sen', 'pba', 'kirchner', 'delincuent', 'abz']",detuv captacion abus menor nicolas rodriguez daniel muñoz milit kuk agrup capitan emple sen pba kirchner delincuent abz
post,ASB @GordoLeyes · Jan 14,"Nicolás Rodríguez y Daniela Muñoz. Munipas de Kicillof. Imputados por captación y abuso de menores. Como digo siempre, KUKA = PEDÓFILO.",https://x.com/GordoLeyes/status/2011644640345420283,"['nicolas', 'rodriguez', 'daniel', 'muñoz', 'munip', 'kicillof', 'imput', 'captacion', 'abus', 'menor', 'dig', 'siempr', 'kuk', 'pedofil']",nicolas rodriguez daniel muñoz munip kicillof imput captacion abus menor dig siempr kuk pedofil
comment,El Retrogrado @ERetrogado · Jan 14,ya estaba dicho: Victoria Tolosa Paz: “En el peronismo siempre se garchó” y si no querés te garchan igual,https://x.com/GordoLeyes/status/2011644640345420283,"['dich', 'victori', 'tolos', 'paz', 'peron', 'siempr', 'garch', 'queres', 'garch', 'igual']",dich victori tolos paz peron siempr garch queres garch igual
comment,Adriel mazzalors  @Adriel_Mzz · Jan 14,es facil KUKA = PEDOFILO,https://x.com/GordoLeyes/status/2011644640345420283,"['facil', 'kuk', 'pedofil']",facil kuk pedofil
comment,Juli C. @callmejuu_ · Jan 14,Se confirmó el vínculo con la hermana de cierta presa?,https://x.com/GordoLeyes/status/2011644640345420283,"['confirm', 'vincul', 'herman', 'ciert', 'pres']",confirm vincul herman ciert pres
