type,author,text,parent_url
post,"Fenerbahçe SK @Fenerbahce · Aug 18, 2015","Yandex'le Messi, Ronaldo, İbrahimoviç bir hayal değil |  http:// fenerbahce.org/detay.asp?Cont entID=46309 …",https://x.com/Fenerbahce/status/633558108653101057
comment,"mustafa @fbimustafa48 · Apr 30, 2024",https:// x.com/maurowhark/sta tus/1784960889466114252/video/1 …,https://x.com/Fenerbahce/status/633558108653101057
comment,"con şahin @consahins · Sep 19, 2022",bu baya komik bi olaydi ag,https://x.com/Fenerbahce/status/633558108653101057
comment,"Uğur @UzmUgurr · Apr 30, 2024",Paramparçayım,https://x.com/Fenerbahce/status/633558108653101057
comment,"Özlenen Fener @ozlenenfener · Jan 7, 2019",allahiiimmmmmm,https://x.com/Fenerbahce/status/633558108653101057
comment,"Murat Çavdar @muratcavdarr · Aug 18, 2015",@Fenerbahce  hakaten imkansız değilmiş messi ronalda diye arattim valla onlar çıktı helal olsun  size,https://x.com/Fenerbahce/status/633558108653101057
post,RED Wall @reddwall · 5h,Şunun güzelliğine bak amk bir maç bile olsa Messi'yi Galatasaray formasıyla görmek istiyoruz,https://x.com/reddwall/status/2018048127563944251
post,Epik Messi Anları @epikmessianlari · Jan 28,aşk..,https://x.com/epikmessianlari/status/2016518494729212146
comment,Samet @Captanturkiye · Jan 28,Messiye sevgimden yengeye bakmadım,https://x.com/epikmessianlari/status/2016518494729212146
comment,eaxwsr @eaxwsr · Jan 28,yenge de erik gibiymiş,https://x.com/epikmessianlari/status/2016518494729212146
comment,cerkezkoyluambiti @crkzkoyluambiti · Jan 28,Of,https://x.com/epikmessianlari/status/2016518494729212146
comment,Dobez99 @qqwfs188477 · Jan 28,gote bak gote got degil et sote,https://x.com/epikmessianlari/status/2016518494729212146
comment,Uğur yılmaz @uguryilmaz5580 · Jan 28,Şu göte ıslatmadan 9 posta atarım,https://x.com/epikmessianlari/status/2016518494729212146
post,Forza Cimbom @forzacimbom · 3h,"Arda Turan, ""Lionel Messi ve Galatasaray efsaneleri "" başlıklı paylaşımı paylaştı.",https://x.com/forzacimbom/status/2018086604095488154
comment,Mehmet Dalkın @Mehmet31910394 · 3h,Yeni mi bu yaaa,https://x.com/forzacimbom/status/2018086604095488154
comment,Ercan Ercan @ErcanEr25017219 · 3h,Hatırlayan vardır oliviera da sofra bezi paylaştı arda,https://x.com/forzacimbom/status/2018086604095488154
comment,Lasciatemi cantare  @hadilagardas06 · 3h,1 maç bile giysen yeter be o formayı,https://x.com/forzacimbom/status/2018086604095488154
comment,efeesgs#LigiKoyalımLigi @efeesgs · 3h,Arda bı Messi fotosu sık taraftarın gazını al,https://x.com/forzacimbom/status/2018086604095488154
comment,Galakolik @Galakolik1481 · 3h,Bi bakmışsın 4 aya orada sadece Galatasaray efsaneleri yazıyormuş...,https://x.com/forzacimbom/status/2018086604095488154
post,KIYAS @kiyashaber_09 · 2h," Gerçekten olabilir mi?  Arda Turan, “Lionel Messi ve Galatasaray efsaneleri” başlıklı paylaşımı hikayesine ekledi.",https://x.com/kiyashaber_09/status/2018097807840649312
comment,Batuhan Çakın @GodJiCKN · 1h,Gerçek olursa bütün ülke her maç GS yi izler,https://x.com/kiyashaber_09/status/2018097807840649312
comment,Mehmet @Mehmetsalih5091 · 2h,Hulk gerçek mi,https://x.com/kiyashaber_09/status/2018097807840649312
