type,text,processed_text
post,"Yandex'le Messi, Ronaldo, İbrahimoviç bir hayal değil |  http:// fenerbahce.org/detay.asp?Cont entID=46309 …",yandexl messi ronald i̇brahimoviç bir hayal değil fenerbahceorgdetayaspcont entid
comment,https:// x.com/maurowhark/sta tus/1784960889466114252/video/1 …,xcommaurowharkst tusvide
comment,bu baya komik bi olaydi ag,bay komik olaydi
comment,Paramparçayım,paramparçayım
comment,allahiiimmmmmm,allahiiimmmmmm
comment,@Fenerbahce  hakaten imkansız değilmiş messi ronalda diye arattim valla onlar çıktı helal olsun  size,hakat imkansız değilmiş messi ronald diy arattim vall onlar çıktı helal olsun siz
post,Şunun güzelliğine bak amk bir maç bile olsa Messi'yi Galatasaray formasıyla görmek istiyoruz,şunun güzelliğin bak amk bir maç bil olsa messiyi galatasaray formasıyl görmek istiyoruz
post,aşk..,aşk
comment,Messiye sevgimden yengeye bakmadım,messiy sevgimd yengey bakmadım
comment,yenge de erik gibiymiş,yeng erik gibiymiş
comment,Of,
comment,gote bak gote got degil et sote,got bak got got degil sot
comment,Şu göte ıslatmadan 9 posta atarım,göte ıslatmad post atarım
post,"Arda Turan, ""Lionel Messi ve Galatasaray efsaneleri "" başlıklı paylaşımı paylaştı.",arda tur lionel messi galatasaray efsaneleri başlıklı paylaşımı paylaştı
comment,Yeni mi bu yaaa,yeni yaa
comment,Hatırlayan vardır oliviera da sofra bezi paylaştı arda,hatırlay vardır oliv sofr bezi paylaştı arda
comment,1 maç bile giysen yeter be o formayı,maç bil giys yet formayı
comment,Arda bı Messi fotosu sık taraftarın gazını al,arda messi fotosu sık taraftarın gazını
comment,Bi bakmışsın 4 aya orada sadece Galatasaray efsaneleri yazıyormuş...,bakmışsın aya orad sadec galatasaray efsaneleri yazıyormuş
post," Gerçekten olabilir mi?  Arda Turan, “Lionel Messi ve Galatasaray efsaneleri” başlıklı paylaşımı hikayesine ekledi.",gerçekt olabil arda tur lionel messi galatasaray efsaneleri başlıklı paylaşımı hikayesin ekledi
comment,Gerçek olursa bütün ülke her maç GS yi izler,gerçek olurs bütün ülke her maç izler
comment,Hulk gerçek mi,hulk gerçek
comment,Yahudi köpeği Messi'yi takıma isteyenler sorunludur. Fanatizmi bi kenara bırakın artık.,yahudi köpeği messiyi takım isteyenl sorunludur fanatizmi ken bırakın artık
comment,Antalya’da yolcu otobüsünün devrilmesi sonucu hayatını kaybeden vatandaşlarımıza Allah’tan rahmet; kederli ailelerine başsağlığı ve sabır; yaralı vatandaşlarımıza acil şifalar dileriz.,antaly yolcu otobüsünün devrilmesi sonucu hayatını kaybed vatandaşlarımız allah tan rahmet kederli ailelerin başsağlığı sabır yaralı vatandaşlarımız acil şifal dileriz
comment,"Noa Lang: ""Juventus karşısında hem Napoli ile hem de PSV ile kazanmıştım. Galatasaray ile de inşallah eleriz. Atmosfer bugün çok özeldi ama Juventus maçında daha da iyi olacağından eminim. Dört gözle bekliyorum.""",noa lang juventus karşısınd hem napoli ile hem psv ile kazanmıştım galatasaray ile inşallah eleriz atmosf bugün çok özeldi ama juventus maçınd dah iyi olacağınd eminim dört gözle bekliyorum
post,Türkiye’nin en güzel 10 kadın oyuncusu kim?  .Hande Erçel 2.Melis Sezen sırt 3.Afra Saraçoğlu 4.Fahriye Evcen 5.Beren Saat 6.Fahriye Evcen 7.Tuba Büyüküstün 8.Elçin Sangu 9.Berrak Tüzünataç 10. Belçim Bilgin  #Pedofili Gülben Ergen #Epstein #RüyaGibi Messi Asprilla siyonist Aydan,türkiy nin güzel kadın oyuncusu kim hand erçel melis sez sırt afra saraçoğlu fahriy evcen ber saat fahriy evcen tub büyüküstün elçin sangu berrak tüzünataç belçim bilgin pedofili gülb ergen epstein rüyagibi messi asprill siyonist aydan
post,De ki paran var Messi'yi getirdin. Şu kadrodan birini kestin Messi'yi koydun. Kesilen adam ben elimden geleni yaptım suçum neydi demez mi? Tamam duygusal bakmak istemiyorum ama bu çocuklar da hakkını veriyor. Yalan mı oğlum?,par var messiyi getirdin kadrod birini kestin messiyi koydun kesil adam ben elimd geleni yaptım suçum neydi demez tamam duygusal bakmak istemiyorum ama çocukl hakkını veriyor yal oğlum
comment,Yakışır be abi ,yakışır abi
comment,Yakışır da kral kimi keselim ,yakışır kral kimi keselim
comment,rotasyon yapacak kadro genişliğimiz yok kral. farklı oyun stilleri oynayacak isimler lazım ki her takımı daha sahaya çıkmadan ezelim. hadi bunları düşünmek bizi aşıyor allah göstermesin yarın birgün sakatlığı var kazası belası var.,rotasyon yapacak kadr genişliğimiz yok kral farklı oyun stilleri oynayacak isiml lazım her takımı dah sahay çıkmad ezelim hadi bunları düşünmek bizi aşıyor allah göstermesin yarın birgün sakatlığı var kazası belası var
comment,"Var kral. Her mevkiye alt yapıdan topçularımız var. Mesela forvet veya kanat yazıyorlar, İlkan Sever var. Orda duruyor. Aslan gibi topçu. Alırsın girer hakkını verir. Her yere alternatifimiz var. Bu arkadaşlar neden yok yere heyecan yapıyor anlamıyorum.",var kral her mevkiy alt yapıd topçularımız var mesel forvet vey kanat yazıyorl i̇lkan sev var orda duruyor aslan gibi topçu alırsın gir hakkını ver her yer alternatifimiz var arkadaşl ned yok yer heyec yapıyor anlamıyorum
comment,Bu kadrodan sefayi direk cikarabilirsin,kadrod sefayi direk cikarabilirsin
post,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için",beni tanımay gençlerin kafası karışmasın diy dah önce birçok kez ifad ettiğim messi ile formalı fotoğraf açıklamasını alta birakiyorum beşiktaş hep doğruları söylemey çalıştığım için yönetimlerin yanlışlarını dil getirdiğim için yin sind susturmak için
comment,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için organize karalama kampanyası başlattılar.  Sinmek bir tarafa, tam tersi bu taşeronluk yapan bu organize kötülük ve onu maddi manevi destekleyenler  hakettikleri ilgiyi görecekler!  Sakın; Beşiktaşlılığımı sorgulamaya cüret etmeyin! KDV’si bile size ağır gelir. NOKTA  Rize’den dönünce itinayla yalanlara ve algılara tek tek cevabım var. ",beni tanımay gençlerin kafası karışmasın diy dah önce birçok kez ifad ettiğim messi ile formalı fotoğraf açıklamasını alta birakiyorum beşiktaş hep doğruları söylemey çalıştığım için yönetimlerin yanlışlarını dil getirdiğim için yin sind susturmak için organiz karalam kampanyası başlattıl sinmek bir taraf tam tersi taşeronluk yap organiz kötülük onu maddi manevi destekleyenl hakettikleri ilgiyi görecekl sakın beşiktaşlılığımı sorgulamay cüret etmeyin kdv bil siz ağır gel nokt riz den dönünc itinayl yalanl algılar tek tek cevabım var
comment,"Ne güzel yazmışım işte en büyük Beşiktaşlı sensin, Beşiktaş'ı en çok sen düşünürsün diye. Neden alındın ki? GS formasıyla fotoğraf çekindiğin de gerçek. Sıfır hata olan sıfır yalan olan bir tweet.",güzel yazmışım işte büyük beşiktaşlı sensin beşiktaşı çok sen düşünürsün diy ned alındın formasıyl fotoğraf çekindiğin gerçek sıfır hat olan sıfır yal olan bir tweet
comment,Bu trollerin işleri güçleri algı abi . Başka da bir halta yaramıyorlar . Keşke enerjilerini biraz takımın sportif başarısı için harcasalar ...,trollerin işleri güçleri algı abi başk bir halt yaramıyorl keşk enerjilerini biraz takımın sportif başarısı için harcasal
comment,Keşke 20 tane amcanın eline kağıt verip bildiri okutmasaydınız be ya da ne bileyim hipodroma gidip atlara istifa diye bağırmasaydınız.,keşk tan amcanın elin kağıt verip bildiri okutmasaydınız bileyim hipodrom gidip atlar istif diy bağırmasaydınız
comment,Eleştirilerinize tamamen katılıyorum. Son dönemde bu eleştirileri çok az medya mensubu yapabiliyor. Onun için sizi taktir ediyorum. Ama Messi ve Gs formalı fotoğraf tüm Beşiktaşlıları rahatsız etmiştir.(tabi Gs’lileri de memnun etmiştir) Bu fotoğraf beni rahatsız etti…,eleştirileriniz tamam katılıyorum dönemd eleştirileri çok medy mensubu yapabiliyor onun için sizi takt ediyorum ama messi formalı fotoğraf tüm beşiktaşlıları rahatsız etmiştirtabi lileri memnun etmişt fotoğraf beni rahatsız etti…
post,Búscame una imagen de Messi así en Liga Francesa y desactivo mi cuenta ,buscam imag messi asi lig frances desact cuent
comment,Esperemos que el Lyon gane la liga francesa y la copa digo Messi si la ganó,esper lyon gan lig frances cop dig messi gan
comment,La Gano gracias a Mbappe y al PSG el no aporto nada,gan graci mbapp psg aport
comment,está en depresión Messi me dicen,depresion messi dic
comment,Búscame una foto así de Endrick y te vas a la verga,buscam fot asi endrick vas verg
comment,Te sirve alguno de esos o te busco los demás donde tiene calificación 10? La concha enferma de tú madre,sirv algun busc demas calif conch enferm madr
post,"Arkadaşlar Messi Galatasaray olayı doğru , transfer büyük oranda bitti büyük ihtimalle yarın açıklanır.",arkadaşl messi galatasaray olayı doğru transf büyük orand bitti büyük ihtimall yarın açıklanır
comment,Ne alaka ne yapcaz messiyi,alak yapcaz messiyi
comment,@grok  doru mu,doru
comment,"Yapın yapın, servis yapın. Küllüm zarar veriyorsunuz takıma. Aynen kardeşim Messi Galatasarayda…. Noa Lang stoper, Asprilla 6-8 oynar artık",yapın yapın servis yapın küllüm zar veriyorsunuz takım aynen kardeşim messi galatasarayda… noa lang stop asprill oynar artık
comment,@grok  doğru mu bu,doğru
comment,yok artık lebron james  biri bize şaka mı yapıyor arda da paylaşım yapmış instadan,yok artık lebron jam biri biz şak yapıyor arda paylaşım yapmış instad
